iter	Logloss
0	0.6896951568
1	0.6859380826
2	0.6822439469
3	0.679030597
4	0.6745593526
5	0.6716149229
6	0.6684703207
7	0.6652341534
8	0.6618677012
9	0.6598491164
10	0.6570159867
11	0.6543307611
12	0.6515282487
13	0.6489192034
14	0.6455111742
15	0.6429218014
16	0.6401673462
17	0.6379351396
18	0.6352756436
19	0.6326065948
20	0.6300797239
21	0.6272971913
22	0.6246727853
23	0.6219599702
24	0.6193228249
25	0.6166191691
26	0.6147410417
27	0.612607201
28	0.6099505555
29	0.6077812834
30	0.6055682732
31	0.603507645
32	0.6007297237
33	0.598467434
34	0.5960023579
35	0.5939053127
36	0.5916314396
37	0.5898217204
38	0.5880942711
39	0.5865059047
40	0.5855956397
41	0.5837555851
42	0.5820363974
43	0.580658828
44	0.578944981
45	0.5777421971
46	0.5759917072
47	0.5746055022
48	0.5727187735
49	0.5709592598
50	0.5694916558
51	0.5678518787
52	0.5658402978
53	0.5638458077
54	0.5620080103
55	0.5599966105
56	0.5585772843
57	0.5573352986
58	0.5560056291
59	0.5545754445
60	0.5530517355
61	0.5514901056
62	0.5501841484
63	0.5486783747
64	0.5470151793
65	0.5453626856
66	0.5438313422
67	0.5424651412
68	0.5408157884
69	0.5394199228
70	0.5381601011
71	0.5361803164
72	0.5345426392
73	0.5329457787
74	0.5321086232
75	0.5308391908
76	0.5292699658
77	0.5279394327
78	0.527036761
79	0.5260583999
80	0.5249797862
81	0.5235360117
82	0.5225679531
83	0.5212019008
84	0.5202592397
85	0.5190551232
86	0.5180552754
87	0.5166338622
88	0.5156648158
89	0.514558114
90	0.5137761741
91	0.512528884
92	0.5114091758
93	0.5101947642
94	0.5093699341
95	0.5083907822
96	0.5075296463
97	0.5066330529
98	0.505566457
99	0.5048277197
100	0.5039357876
101	0.5031029613
102	0.5021936831
103	0.5011084069
104	0.500281936
105	0.4989925935
106	0.4979973679
107	0.4967118967
108	0.4955535224
109	0.4944865118
110	0.493371137
111	0.4923534666
112	0.4914398347
113	0.4909117305
114	0.4896177748
115	0.4886925015
116	0.4878993966
117	0.4869674541
118	0.4861739069
119	0.4854661978
120	0.4845694041
121	0.4837071685
122	0.482994985
123	0.482323189
124	0.4813881803
125	0.4807387796
126	0.4796910316
127	0.4783608014
